id,name,state,dist,tmax,tmax_sflag,tmin,tmin_sflag,prcp,prcp_sflag,date
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,15.6,W,6.7,W,97.0,W,2018-03-01
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,6.7,W,1.1,W,472.0,W,2018-03-02
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,9.4,W,2.2,W,0.0,W,2018-03-03
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,6.7,W,1.1,W,0.0,W,2018-03-04
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,6.1,W,0.6,W,0.0,W,2018-03-05
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,8.3,W,0.0,W,0.0,W,2018-03-06
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,3.9,W,0.6,W,358.0,W,2018-03-07
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,3.9,W,0.6,W,0.0,W,2018-03-08
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,5.6,W,-1.0,W,0.0,W,2018-03-09
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,4.4,W,-0.5,W,0.0,W,2018-03-10
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,7.2,W,0.0,W,0.0,W,2018-03-11
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,6.1,W,0.0,W,20.0,W,2018-03-12
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,4.4,W,0.6,W,71.0,W,2018-03-13
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,5.0,W,-0.5,W,3.0,W,2018-03-14
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,8.9,W,0.0,W,0.0,W,2018-03-15
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,4.4,W,-1.0,W,0.0,W,2018-03-16
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,8.9,W,-2.7,W,0.0,W,2018-03-17
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,6.1,W,-2.1,W,0.0,W,2018-03-18
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,8.3,W,0.6,W,0.0,W,2018-03-19
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,3.9,W,-1.0,W,0.0,W,2018-03-20
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,3.9,W,-0.5,W,251.0,W,2018-03-21
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,10.0,W,0.0,W,15.0,W,2018-03-22
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,9.4,W,1.7,W,0.0,W,2018-03-23
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,10.6,W,1.7,W,0.0,W,2018-03-24
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,7.2,W,0.6,W,0.0,W,2018-03-25
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,10.0,W,1.1,W,0.0,W,2018-03-26
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,8.3,W,1.1,W,3.0,W,2018-03-27
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,11.1,W,3.3,W,8.0,W,2018-03-28
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,11.7,W,9.4,W,8.0,W,2018-03-29
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,16.7,W,6.7,W,8.0,W,2018-03-30
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,14.4,W,3.9,W,0.0,W,2018-03-31
USW00094728,"NEW YORK CNTRL PK TWR         ",NY,6.5616698538848448,15.6,W,6.1,W,0.0,W,2018-04-01
