id,name,state,dist,tmax,tmax_sflag,tmin,tmin_sflag,prcp,prcp_sflag,date
USW00014732,"NEW YORK LAGUARDIA AP         ",NY,4.01590145969233,15.0,W,6.1,W,107.0,W,2018-03-01
USW00014732,"NEW YORK LAGUARDIA AP         ",NY,4.01590145969233,6.7,W,2.2,W,447.0,W,2018-03-02
USW00014732,"NEW YORK LAGUARDIA AP         ",NY,4.01590145969233,8.3,W,3.3,W,0.0,W,2018-03-03
USW00014732,"NEW YORK LAGUARDIA AP         ",NY,4.01590145969233,6.7,W,1.7,W,0.0,W,2018-03-04
USW00014732,"NEW YORK LAGUARDIA AP         ",NY,4.01590145969233,5.6,W,1.7,W,0.0,W,2018-03-05
USW00014732,"NEW YORK LAGUARDIA AP         ",NY,4.01590145969233,8.3,W,1.1,W,0.0,W,2018-03-06
USW00014732,"NEW YORK LAGUARDIA AP         ",NY,4.01590145969233,3.9,W,1.1,W,229.0,W,2018-03-07
USW00014732,"NEW YORK LAGUARDIA AP         ",NY,4.01590145969233,5.6,W,1.1,W,0.0,W,2018-03-08
USW00014732,"NEW YORK LAGUARDIA AP         ",NY,4.01590145969233,6.7,W,-0.5,W,0.0,W,2018-03-09
USW00014732,"NEW YORK LAGUARDIA AP         ",NY,4.01590145969233,5.0,W,0.6,W,0.0,W,2018-03-10
USW00014732,"NEW YORK LAGUARDIA AP         ",NY,4.01590145969233,7.8,W,1.1,W,0.0,W,2018-03-11
USW00014732,"NEW YORK LAGUARDIA AP         ",NY,4.01590145969233,6.1,W,0.6,W,10.0,W,2018-03-12
USW00014732,"NEW YORK LAGUARDIA AP         ",NY,4.01590145969233,5.6,W,1.1,W,56.0,W,2018-03-13
USW00014732,"NEW YORK LAGUARDIA AP         ",NY,4.01590145969233,5.6,W,0.0,W,0.0,W,2018-03-14
USW00014732,"NEW YORK LAGUARDIA AP         ",NY,4.01590145969233,8.9,W,1.1,W,0.0,W,2018-03-15
USW00014732,"NEW YORK LAGUARDIA AP         ",NY,4.01590145969233,4.4,W,0.0,W,0.0,W,2018-03-16
